Location,Key,Value,State,FactSource
Sydney,MedianHousePrice,???,NSW,
Sydney,MedianIncome,???,NSW,
Canberra,MedianHousePrice,???,ACT,
Queanbeyan,MedianHousePriceToIncome,???,NSW,
Sydney,MedianHousePriceToIncome,???,NSW,
Jindabyne,ABCStory,Sniffer dog called in to find weed in Kosciuszko National Park,NSW,
Palmwoods,ABCStory,Beard lover compensates lack of growth by raising funds for cancer sufferers,QLD,
Toowoomba,ABCStory,Star Wars parody shot in regional Queensland goes viral,QLD,
Alstonville,ABCStory,The proof is in the 1 millionth Christmas pudding,NSW,
Yeppoon,ABCStory,Punt on the pigs a big win for charities,QLD,
Australia,Births2015,1209857,,
Australian Capital Territory,Births2015,22416,,
New South Wales,Births2015,376489,NSW,
Northern Territory,Births2015,16062,NT,
Queensland,Births2015,252372,QLD,
South Australia,Births2015,80486,SA,
Tasmania,Births2015,24018,TAS,
Victoria,Births2015,298726,VIC,
Western Australia,Births2015,139288,WA,
Australia,Deaths2015,604119,,
Australian Capital Territory,Deaths2015,7158,ACT,
New South Wales,Deaths2015,205152,NSW,
Northern Territory,Deaths2015,4545,NT,
Queensland,Deaths2015,113374,QLD,
South Australia,Deaths2015,52551,SA,
Tasmania,Deaths2015,17959,TAS,
Victoria,Deaths2015,148765,VIC,
Western Australia,Deaths2015,54615,WA,
Australia,Estimated2015Pop,95710305,,
Australian Capital Territory,Estimated2015Pop,1568082,ACT,
New South Wales,Estimated2015Pop,30607893,NSW,
Northern Territory,Estimated2015Pop,992254,NT,
Queensland,Estimated2015Pop,19231421,QLD,
South Australia,Estimated2015Pop,6814739,SA,
Tasmania,Estimated2015Pop,2067100,TAS,
Victoria,Estimated2015Pop,23868484,VIC,
Western Australia,Estimated2015Pop,10547492,WA,
Australia,InterstateArrivals2015,1380482,,
Australian Capital Territory,InterstateArrivals2015,69283,ACT,
New South Wales,InterstateArrivals2015,348823,NSW,
Northern Territory,InterstateArrivals2015,56588,NT,
Queensland,InterstateArrivals2015,348678,QLD,
South Australia,InterstateArrivals2015,90055,SA,
Tasmania,InterstateArrivals2015,41368,TAS,
Victoria,InterstateArrivals2015,287339,VIC,
Western Australia,InterstateArrivals2015,138348,WA,
Australia,InterstateDepartures2015,1380482,,
Australian Capital Territory,InterstateDepartures2015,74021,ACT,
New South Wales,InterstateDepartures2015,376167,NSW,
Northern Territory,InterstateDepartures2015,69501,NT,
Queensland,InterstateDepartures2015,325613,QLD,
South Australia,InterstateDepartures2015,102084,SA,
Tasmania,InterstateDepartures2015,46059,TAS,
Victoria,InterstateDepartures2015,252398,VIC,
Western Australia,InterstateDepartures2015,134639,WA,
Australia,NetInterstateMigration2015,0,,
Australian Capital Territory,NetInterstateMigration2015,-4738,ACT,
New South Wales,NetInterstateMigration2015,-27344,NSW,
Northern Territory,NetInterstateMigration2015,-12913,NT,
Queensland,NetInterstateMigration2015,23065,QLD,
South Australia,NetInterstateMigration2015,-12029,SA,
Tasmania,NetInterstateMigration2015,-4691,TAS,
Victoria,NetInterstateMigration2015,34941,VIC,
Western Australia,NetInterstateMigration2015,3709,WA,
Australia,NetOverseasMigration2015,981500,,
Australian Capital Territory,NetOverseasMigration2015,11284,ACT,
New South Wales,NetOverseasMigration2015,334829,NSW,
Northern Territory,NetOverseasMigration2015,14316,NT,
Queensland,NetOverseasMigration2015,146961,QLD,
South Australia,NetOverseasMigration2015,50314,SA,
Tasmania,NetOverseasMigration2015,6073,TAS,
Victoria,NetOverseasMigration2015,267918,VIC,
Western Australia,NetOverseasMigration2015,149805,WA,
Australia,OverseasArrivals2015,1991600,,
Australian Capital Territory,OverseasArrivals2015,33273,ACT,
New South Wales,OverseasArrivals2015,671768,NSW,
Northern Territory,OverseasArrivals2015,30620,NT,
Queensland,OverseasArrivals2015,351055,QLD,
South Australia,OverseasArrivals2015,94611,SA,
Tasmania,OverseasArrivals2015,15264,TAS,
Victoria,OverseasArrivals2015,506692,VIC,
Western Australia,OverseasArrivals2015,288317,WA,
Australia,OverseasDepartures2015,1010100,,
Australian Capital Territory,OverseasDepartures2015,21989,ACT,
New South Wales,OverseasDepartures2015,336939,NSW,
Northern Territory,OverseasDepartures2015,16304,NT,
Queensland,OverseasDepartures2015,204094,QLD,
South Australia,OverseasDepartures2015,44297,SA,
Tasmania,OverseasDepartures2015,9191,TAS,
Victoria,OverseasDepartures2015,238774,VIC,
Western Australia,OverseasDepartures2015,138512,WA,
Durack,AirConditionAnnualCoolingHours,5976,WA,
Cunnamulla,AirConditionAnnualCoolingHours,2671,QLD,
Bicheno,AirConditionAnnualCoolingHours,3,TAS,
Blaxland,AirConditionAnnualCoolingHours,942,NSW,
Queanbeyan,AirConditionAnnualCoolingHours,493,NSW,
Mooloolah Valley,AirConditionAnnualCoolingHours,1464,QLD,
Darwin,AirConditionAnnualHeatingHours,0,NT,
Cunnamulla,AirConditionAnnualHeatingHours,978,QLD,
Yeppoon,AirConditionAnnualHeatingHours,232,QLD,
Alstonville,AirConditionAnnualHeatingHours,459,NSW,
Bulyee,Electorate,O'Connor,WA 
Upper Sturt,Electorate,Boothby,SA 
Grassmere,Electorate,Port Adelaide,SA 
Mitcham West,Electorate,Hindmarsh,SA 
Forrestville,Electorate,Hindmarsh,SA 
NAREMBEEN,Electorate,O'Connor,GA 
Pinchys Corner,Electorate,Mayo,SA 
West Mitcham,Electorate,Adelaide,SA 
Bugle Ranges,Electorate,Mayo,SA 
Narembeen,Electorate,O'Connor,WA 
Narembeen,Electorate,O'Connor,WA 
Narembeen,Electorate,O'Connor,WA 
Twickenham Gardens,Electorate,Hindmarsh,SA 
Kurralta Park,Electorate,Port Adelaide,SA 
Angas Park,Electorate,Hindmarsh,SA 
Galway Garden Suburb,Electorate,Port Adelaide,SA 
South Richmond,Electorate,Port Adelaide,SA 
Richmond South,Electorate,Port Adelaide,SA 
Twickenham,Electorate,Hindmarsh,SA 
Joyce Park,Electorate,Hindmarsh,SA 
