Location,Lat,Lon,LocationURL,State
12 Mile Break,-29.04432,114.7389,WA ,
14 Mile Crossing,-27.77597,114.7906,WA ,
20 Mile Hollow,-33.7318,150.4846,NSW ,
2nd Lookout,-34.2985,150.9179,NSW ,
3 Mile Flat,-31.79738,116.3845,WA ,
3 Miles,-35.4652,144.6512,NSW ,
399 Mile Landing,-35.7318,144.2846,NSW ,
40 Mile Crossing,-27.5293,115.0236,WA ,
7 Mile Bend,-23.38396,117.1969,WA ,
7 Mile Station,-28.41542,114.5848,WA ,
9 Mile,-15.53468,128.1899,WA ,
A H Smiths Corner,-31.36132,138.40826,SA ,
A1 MINE SETTLEMENT,-37.4998611,146.20125,VIC ,
ABBEYARD,-37.025352,146.7524021,VIC ,
ABBEYWOOD,-26.10388947,151.6455536,QLD ,
ABBOTSFORD,-24.83222389,152.004715,QLD ,
ABBOTSFORD,-37.8025182,144.9987055,VIC ,
ABBOTTVILLE,-21.1,148.7333333,QLD ,
ABERCORN,-25.1331389,151.1294147,QLD ,
ABERCORN,-25.14138794,151.1483307,QLD ,
ABERDEEN,-32.168995,150.891248,GA ,
ABERFELDIE,-37.7598697,144.8979276,VIC ,
ABERFELDY,-37.702079,146.3783433,VIC ,
ABERGOWRIE,-18.43845749,145.9194489,QLD ,
ABERGOWRIE,-18.47568096,145.886107,QLD ,
ABINGDON DOWNS,-17.81292017,143.4700215,QLD ,
ABINGTON,-25.20528,152.34694,QLD ,
ABSWOLD,-18.86666667,146.2166667,QLD ,
ACACIA RIDGE,-27.585835,153.026108,QLD ,
ACHERON,-37.270525,145.7040751,VIC ,
ACLAND,-27.30480385,151.6902466,QLD ,
ACLAND,-27.31389,151.68389,QLD ,
ACTON PARK,-42.85873,147.4754,GA ,
ADA,-37.8407326,145.8495942,VIC ,
ADAMINABY,-35.9951445,148.773891,GA ,
ADAMS ESTATE,-38.4251697,145.531635,VIC ,
ADARE,-27.50972176,152.2961121,QLD ,
ADARE,-38.5979167,146.4018056,VIC ,
ADAVALE,-25.80845451,144.7800598,QLD ,
ADAVALE,-25.91095656,144.6006217,QLD ,
ADDINGTON,-37.3937015,143.6666169,VIC ,
ADELAIDE GATE,-28.99820141,142.6029002,QLD ,
ADELAIDE LEAD,-37.0852215,143.666611,VIC ,
ADELAIDE PARK,-23.098057,150.695007,QLD ,
ADELAIDE RIVER,-13.23943,131.10733,GA ,
ADELAIDE,-34.92866,138.59863,GA ,
ADELONG,-35.3088355,148.0661425,GA ,
ADVANCETOWN,-28.07194,153.27917,QLD ,
AEROGLEN,-16.87611198,145.7597198,QLD ,
AGNES BANKS,-33.60944,150.71674,GA ,
AGNES WATER,-24.2123845,151.903349,GA ,
AGNES WATER,-24.2125857,151.9032788,QLD ,
AGNES WATER,-24.223612,151.895828,QLD ,
AGNES,-38.6848129,146.3886557,VIC ,
AILSA,-36.3326389,142.3606944,VIC ,
AIRDMILLAN,-19.52305603,147.4752655,QLD ,
AIRE VALLEY,-38.6931688,143.564482,VIC ,
AIREYS INLET (BOTTOM SHOPS) NEIGHBOURHOOD SAFER PLACE,-38.4652778,144.0988889,VIC ,
AIREYS INLET,-38.437914,144.0974471,VIC ,
AIREYS INLET,-38.464,144.10394,GA ,
AIRLIE BEACH,-20.26666641,148.715271,QLD ,
AIRLIE BEACH,-20.267707,148.7158945,GA ,
AIRLIE BEACH,-20.27444,148.715,QLD ,
AIRLY,-38.029127,147.0994153,VIC ,
AIRPORT WEST,-37.7232159,144.884188,VIC ,
AIRVILLE,-19.63222313,147.3452759,QLD ,
AITKENVALE,-19.30555534,146.7677765,QLD ,
ALABAMA HILL,-20.08333397,146.2477875,QLD ,
ALADDIN,-26.31666667,142.85,QLD ,
ALAMEIN,-37.8665278,145.0934722,VIC ,
ALBACUTYA,-35.7372797,141.9593417,VIC ,
ALBANVALE,-37.7459283,144.7682344,VIC ,
ALBANY CREEK,-27.35361099,152.9683228,QLD ,
ALBANY,-35.0031,117.86595,GA ,
ALBERT PARK,-37.8430815,144.954133,VIC ,
